Time, gx1, gy1, gz1, gx2, gy2, gz2, ax1, ay1, az1, ax2, ay2, az2
39670, 0.95, -1.16, -190.09, 2.07, -2.00, -108.11, -0.09, -1.20, 0.02, -0.08, -1.00, 0.08, 
39679, 1.47, -3.05, -188.49, 2.08, -1.56, -107.24, -0.09, -1.19, 0.04, -0.10, -1.02, 0.02, 
39687, 0.97, -7.56, -186.55, 1.45, -2.27, -106.75, -0.11, -1.19, 0.02, -0.13, -1.02, 0.04, 
39694, 1.82, -13.69, -184.53, 2.35, -2.95, -105.61, -0.14, -1.18, 0.03, -0.15, -1.01, 0.05, 
39703, 2.52, -9.29, -181.72, 2.44, -4.45, -104.42, -0.15, -1.17, 0.03, -0.16, -1.01, 0.05, 
39711, 2.87, -2.44, -179.02, 1.32, -1.54, -103.68, -0.16, -1.16, 0.02, -0.12, -1.04, -0.04, 
39719, 3.05, 0.42, -175.45, 2.56, -1.71, -102.37, -0.17, -1.15, 0.02, -0.15, -1.02, -0.03, 
39728, 3.61, 0.65, -172.32, -0.38, -1.07, -101.32, -0.19, -1.15, 0.03, -0.21, -1.01, 0.03, 
39736, 3.45, -1.87, -168.17, 2.72, -2.16, -99.71, -0.20, -1.13, 0.03, -0.21, -1.02, 0.02, 
39743, 3.78, -2.03, -164.40, 1.61, -2.15, -98.09, -0.21, -1.12, 0.03, -0.23, -0.99, 0.06, 
39752, 3.94, -1.11, -159.91, 3.77, -2.49, -96.13, -0.22, -1.11, 0.03, -0.24, -1.00, 0.05, 
39760, 4.37, -1.09, -155.51, 3.75, -2.45, -94.29, -0.22, -1.10, 0.03, -0.25, -1.00, 0.04, 
39767, 4.35, -2.28, -150.28, 4.17, -2.39, -92.34, -0.23, -1.09, 0.03, -0.28, -1.00, 0.03, 
39776, 4.34, -2.14, -145.61, 1.99, -1.61, -90.32, -0.24, -1.08, 0.03, -0.29, -0.99, 0.05, 
39784, 5.03, -0.53, -140.38, 3.10, -2.09, -87.86, -0.25, -1.07, 0.03, -0.30, -0.99, 0.04, 
39791, 5.01, -0.20, -135.28, 3.32, -1.83, -85.58, -0.25, -1.05, 0.03, -0.31, -1.00, 0.05, 
39800, 4.90, -1.09, -129.29, 3.36, -1.25, -82.78, -0.25, -1.04, 0.02, -0.31, -0.99, 0.03, 
39808, 5.05, -2.57, -124.23, 2.49, -1.02, -80.01, -0.26, -1.03, 0.03, -0.35, -0.98, 0.06, 
39815, 5.39, -3.33, -118.13, 2.83, -0.80, -77.78, -0.27, -1.02, 0.03, -0.35, -0.98, 0.04, 
39824, 5.51, -3.07, -112.73, 2.38, -0.63, -74.64, -0.27, -1.01, 0.03, -0.36, -0.98, 0.04, 
39832, 5.61, -3.26, -107.35, 2.97, -0.41, -71.85, -0.27, -1.00, 0.02, -0.38, -0.98, 0.04, 
39839, 6.15, -1.88, -100.95, 2.45, -0.78, -68.21, -0.27, -0.99, 0.03, -0.38, -0.98, 0.04, 
39848, 6.02, -0.46, -95.36, 2.29, -0.54, -65.01, -0.27, -0.98, 0.03, -0.39, -0.97, 0.04, 
39855, 6.14, 0.16, -89.02, 2.94, -0.44, -61.45, -0.27, -0.97, 0.04, -0.40, -0.97, 0.05, 
39862, 6.68, 0.01, -83.36, 3.65, -0.18, -57.88, -0.27, -0.96, 0.04, -0.41, -0.96, 0.04, 
39871, 6.73, -0.86, -77.53, 3.37, -0.06, -54.49, -0.27, -0.95, 0.04, -0.42, -0.97, 0.04, 
39878, 6.45, -0.95, -71.35, 3.12, -0.21, -50.24, -0.28, -0.94, 0.02, -0.42, -0.96, 0.04, 
39887, 6.68, -0.91, -65.68, 2.57, 0.31, -46.68, -0.27, -0.93, 0.03, -0.43, -0.96, 0.04, 
39895, 7.55, -1.37, -60.04, 3.52, 0.37, -43.22, -0.27, -0.92, 0.04, -0.43, -0.95, 0.04, 
39902, 6.90, -0.66, -53.52, 3.14, 0.74, -38.50, -0.27, -0.92, 0.03, -0.44, -0.96, 0.04, 
39910, 6.69, -0.96, -48.06, 3.48, 0.78, -34.40, -0.27, -0.91, 0.02, -0.45, -0.96, 0.04, 
39918, 7.35, -1.07, -42.45, 4.03, 0.91, -30.57, -0.27, -0.91, 0.03, -0.45, -0.95, 0.04, 
39925, 6.91, -0.74, -36.15, 3.75, 0.75, -26.01, -0.27, -0.90, 0.03, -0.46, -0.96, 0.04, 
39934, 6.88, -0.11, -30.35, 3.21, 1.18, -21.59, -0.27, -0.90, 0.03, -0.46, -0.95, 0.04, 
39942, 6.67, 0.05, -24.82, 3.39, 1.08, -17.34, -0.26, -0.89, 0.03, -0.46, -0.95, 0.05, 
39948, 6.86, -0.35, -19.22, 3.75, 1.42, -13.41, -0.26, -0.89, 0.03, -0.47, -0.95, 0.04, 
39957, 6.35, -1.93, -12.90, 3.75, 1.66, -8.43, -0.26, -0.89, 0.03, -0.47, -0.95, 0.04, 
39965, 6.07, -4.80, -7.37, 3.23, 1.66, -4.21, -0.27, -0.89, 0.03, -0.47, -0.95, 0.04, 
39971, 6.45, -3.60, -1.79, 3.29, 1.77, -0.19, -0.27, -0.89, 0.04, -0.47, -0.94, 0.05, 
39980, 5.23, -1.20, 3.71, 4.38, 1.92, 4.31, -0.27, -0.89, 0.03, -0.47, -0.95, 0.03, 
39987, 5.21, 0.54, 9.16, 4.59, 2.97, 8.32, -0.27, -0.89, 0.02, -0.47, -0.95, 0.05, 
39995, 5.36, 3.35, 14.74, 4.44, 3.30, 12.32, -0.27, -0.89, 0.03, -0.47, -0.95, 0.03, 
40002, 4.57, 4.90, 20.28, 4.15, 2.76, 16.49, -0.26, -0.89, 0.03, -0.46, -0.95, 0.04, 
40009, 4.31, 2.56, 25.98, 3.82, 2.93, 20.77, -0.27, -0.90, 0.02, -0.46, -0.95, 0.04, 
40018, 3.96, 2.31, 31.45, 4.00, 2.84, 24.94, -0.27, -0.90, 0.03, -0.46, -0.95, 0.04, 
40025, 3.22, 2.46, 36.93, 4.11, 3.45, 29.18, -0.27, -0.90, 0.02, -0.45, -0.95, 0.04, 
40032, 2.88, 2.23, 42.44, 4.70, 3.58, 32.80, -0.27, -0.91, 0.03, -0.45, -0.95, 0.04, 
40040, 2.43, 2.19, 48.14, 4.64, 3.75, 37.06, -0.27, -0.92, 0.03, -0.44, -0.96, 0.04, 
40047, 1.73, 1.85, 53.78, 4.24, 3.70, 40.82, -0.27, -0.92, 0.03, -0.44, -0.96, 0.05, 
40055, 1.55, 0.62, 59.61, 4.24, 3.69, 44.63, -0.27, -0.93, 0.03, -0.43, -0.96, 0.04, 
40063, 0.96, 0.53, 65.81, 4.49, 3.53, 48.25, -0.28, -0.94, 0.03, -0.42, -0.97, 0.04, 
40069, 0.79, 0.86, 71.40, 4.51, 3.89, 52.34, -0.28, -0.94, 0.03, -0.42, -0.97, 0.03, 
40078, 0.30, 0.63, 76.88, 4.56, 3.37, 55.95, -0.28, -0.95, 0.03, -0.41, -0.98, -0.00, 
40086, -0.05, 0.25, 82.51, 3.86, 3.92, 59.17, -0.28, -0.96, 0.03, -0.40, -0.97, 0.05, 
40092, -0.67, -0.10, 88.12, 4.60, 3.42, 62.85, -0.27, -0.97, 0.04, -0.38, -0.98, -0.01, 
40101, -0.72, -0.32, 93.70, 3.47, 4.23, 65.98, -0.28, -0.98, 0.03, -0.38, -0.97, 0.04, 
40108, -1.09, -0.16, 99.24, 4.20, 4.37, 68.93, -0.27, -0.99, 0.03, -0.37, -0.97, 0.05, 
40117, -1.42, -0.15, 105.40, 4.33, 4.16, 72.46, -0.27, -1.00, 0.03, -0.37, -0.98, 0.04, 
40124, -1.46, -0.03, 110.67, 3.90, 3.99, 75.45, -0.25, -0.99, 0.03, -0.38, -1.00, 0.02, 
40131, -1.86, -0.32, 116.21, 5.15, 3.88, 77.96, -0.27, -1.02, 0.04, -0.33, -1.00, -0.03, 
40140, -2.14, 0.09, 122.20, 4.65, 4.75, 80.99, -0.27, -1.03, 0.03, -0.32, -1.00, 0.00, 
40148, -2.24, 1.71, 127.26, 4.66, 3.77, 83.44, -0.26, -1.04, 0.04, -0.32, -0.98, 0.04, 
40155, -2.27, 3.68, 132.35, 3.55, 5.51, 85.75, -0.26, -1.05, 0.03, -0.30, -1.00, 0.00, 
40163, -2.57, 5.55, 137.46, 1.73, 6.72, 88.03, -0.26, -1.06, 0.03, -0.28, -0.99, 0.04, 
40171, -2.45, 10.24, 142.21, 2.56, 1.26, 90.04, -0.26, -1.08, 0.03, -0.28, -0.97, 0.06, 
40178, -2.21, 15.12, 147.07, 2.44, 5.43, 92.30, -0.24, -1.09, 0.03, -0.27, -0.99, 0.05, 
40187, -2.55, 13.42, 151.80, 5.29, 5.21, 94.08, -0.22, -1.10, 0.04, -0.25, -1.01, 0.01, 
40193, -2.59, 8.90, 156.07, 4.39, 4.20, 95.76, -0.22, -1.11, 0.03, -0.25, -1.00, 0.03, 
40202, -2.98, 5.21, 160.86, 4.24, 5.12, 97.88, -0.21, -1.12, 0.04, -0.24, -1.00, 0.05, 
40210, -3.03, 3.53, 164.76, 3.42, 4.92, 99.16, -0.19, -1.12, 0.01, -0.22, -1.00, 0.10, 
40217, -3.69, 4.21, 168.31, 5.01, 4.79, 100.75, -0.20, -1.14, 0.03, -0.21, -1.02, -0.01, 
40225, -3.43, 7.15, 171.82, 4.16, 5.53, 101.98, -0.18, -1.14, 0.03, -0.23, -1.03, -0.03, 
40233, -3.47, 6.66, 174.98, 3.28, 5.39, 103.08, -0.16, -1.16, 0.03, -0.17, -1.01, 0.05, 
40240, -4.06, 4.24, 177.81, 5.21, 6.59, 104.40, -0.16, -1.17, 0.03, -0.16, -1.01, 0.04, 
40249, -3.89, 4.66, 180.04, 2.93, 5.77, 105.32, -0.14, -1.18, 0.02, -0.14, -1.01, 0.03, 
40257, -4.08, 5.92, 182.54, 3.85, 5.18, 106.18, -0.13, -1.18, 0.02, -0.12, -1.00, 0.08, 
40264, -3.26, 7.84, 184.06, 5.74, 5.31, 107.06, -0.12, -1.19, 0.05, -0.11, -1.02, 0.01, 
40272, -3.92, 11.43, 186.04, 4.37, 5.28, 107.35, -0.11, -1.19, 0.04, -0.09, -1.01, 0.04, 
40280, -4.53, 15.02, 187.37, 5.37, 5.06, 108.19, -0.09, -1.20, 0.01, -0.07, -1.02, 0.01, 
40287, -3.18, 14.74, 187.96, 4.12, 6.06, 108.50, -0.06, -1.20, 0.03, -0.06, -1.01, 0.04, 
40296, -2.66, 11.52, 188.43, 4.29, 5.74, 108.89, -0.05, -1.20, 0.05, -0.04, -1.01, 0.05, 
40304, -3.31, 10.47, 188.40, 4.34, 5.87, 109.53, -0.04, -1.20, 0.02, -0.04, -1.02, 0.03, 
40311, -3.30, 4.25, 188.06, 4.56, 5.73, 109.67, -0.01, -1.19, 0.01, -0.03, -1.00, 0.08, 
40320, -2.44, 3.42, 187.52, 5.04, 5.39, 109.88, -0.00, -1.20, 0.02, -0.02, -1.03, 0.03, 
40327, -2.33, 3.40, 186.05, 4.12, 6.34, 109.64, 0.01, -1.20, 0.03, 0.01, -1.02, 0.03, 
40335, -2.36, 1.40, 184.60, 4.12, 5.74, 109.54, 0.02, -1.19, 0.04, 0.02, -1.01, 0.08, 
40343, -2.84, 1.10, 182.82, 5.23, 5.50, 109.38, 0.04, -1.19, 0.04, 0.05, -1.02, 0.04, 
40350, -2.28, -1.35, 181.05, 5.63, 5.50, 109.01, 0.05, -1.20, 0.03, 0.06, -1.02, 0.02, 
40358, -1.31, 1.55, 178.66, 4.73, 5.32, 108.52, 0.06, -1.18, 0.02, 0.05, -1.01, 0.03, 
40366, -0.01, 5.39, 175.94, 3.61, 5.55, 108.16, 0.08, -1.18, 0.05, 0.08, -1.01, 0.02, 
40373, -0.91, 7.00, 172.82, 5.17, 6.07, 107.49, 0.09, -1.17, 0.04, 0.10, -1.02, -0.04, 
40381, -0.54, 5.13, 169.59, 4.73, 5.42, 106.70, 0.11, -1.16, 0.03, 0.12, -1.00, 0.06, 
40389, 0.58, 1.84, 165.93, 5.46, 5.45, 106.06, 0.11, -1.16, 0.03, 0.13, -1.01, 0.06, 
40395, 1.29, 1.76, 162.32, 5.56, 5.37, 104.81, 0.11, -1.15, 0.04, 0.15, -1.01, 0.03, 
40404, 1.67, 3.98, 158.73, 3.73, 5.57, 103.80, 0.12, -1.14, 0.02, 0.16, -0.99, 0.07, 
40411, 1.88, 6.49, 154.41, 4.56, 6.08, 102.51, 0.14, -1.13, 0.03, 0.17, -0.99, 0.04, 
40419, 2.58, 3.96, 150.26, 4.20, 5.56, 101.05, 0.15, -1.13, 0.02, 0.19, -1.00, 0.05, 
40427, 2.62, 0.64, 145.90, 4.32, 5.84, 99.79, 0.15, -1.11, 0.02, 0.21, -0.99, 0.05, 
40433, 3.19, 0.41, 141.46, 5.38, 4.26, 98.10, 0.15, -1.11, 0.02, 0.21, -0.99, 0.05, 
40442, 3.53, 2.64, 136.84, 5.10, 5.42, 96.07, 0.15, -1.10, 0.01, 0.25, -0.98, 0.03, 
40448, 3.59, 4.33, 132.13, 4.24, 5.09, 94.28, 0.16, -1.08, 0.01, 0.24, -0.99, -0.01, 
40457, 3.89, 3.25, 127.27, 3.84, 3.96, 92.30, 0.17, -1.08, 0.00, 0.23, -0.98, 0.06, 
40464, 4.24, 1.93, 122.39, 4.23, 6.76, 89.99, 0.16, -1.06, 0.03, 0.28, -0.99, -0.01, 
40471, 4.16, 2.29, 117.24, 4.60, 4.48, 87.46, 0.17, -1.06, 0.03, 0.28, -0.98, 0.04, 
40479, 4.25, 3.43, 112.48, 5.14, 5.33, 84.81, 0.16, -1.04, 0.02, 0.31, -0.96, 0.03, 
40486, 4.42, 3.87, 107.49, 5.87, 3.82, 82.20, 0.17, -1.04, 0.02, 0.29, -0.98, 0.04, 
40493, 4.59, 2.70, 102.39, 6.39, 4.87, 79.13, 0.18, -1.03, 0.02, 0.31, -0.97, 0.03, 
40501, 4.59, 1.26, 97.32, 6.34, 3.47, 76.49, 0.17, -1.02, 0.02, 0.31, -0.97, 0.04, 
40508, 4.57, 1.98, 92.23, 5.76, 3.45, 73.44, 0.17, -1.01, 0.02, 0.33, -0.96, 0.04, 
40516, 4.88, 2.06, 87.14, 6.32, 3.66, 70.33, 0.17, -1.00, 0.02, 0.35, -0.96, 0.02, 
40524, 4.16, 2.04, 82.16, 6.65, 2.26, 67.08, 0.18, -0.99, 0.01, 0.34, -0.98, -0.04, 
40530, 4.85, 0.98, 77.18, 4.80, 3.36, 63.60, 0.18, -0.99, 0.02, 0.35, -0.95, 0.07, 
40538, 4.73, -2.16, 72.04, 6.84, 3.22, 60.02, 0.17, -0.97, 0.02, 0.37, -0.96, 0.02, 
40545, 4.70, 0.32, 67.15, 4.64, 3.44, 56.20, 0.16, -0.96, 0.01, 0.38, -0.94, 0.03, 
40553, 4.87, 2.49, 60.69, 5.98, 2.78, 53.25, 0.18, -0.96, 0.02, 0.37, -0.95, 0.03, 
40561, 4.86, 2.36, 57.80, 5.25, 3.63, 49.23, 0.17, -0.94, 0.03, 0.40, -0.94, 0.02, 
40567, 5.15, 0.33, 52.88, 5.31, 2.56, 45.44, 0.17, -0.94, 0.03, 0.38, -0.95, 0.04, 
40575, 4.94, -1.67, 48.19, 5.11, 3.40, 41.44, 0.16, -0.94, 0.03, 0.39, -0.94, 0.02, 
40582, 5.23, -0.16, 43.19, 5.04, 2.15, 37.30, 0.16, -0.93, 0.04, 0.40, -0.94, 0.04, 
40590, 5.70, 0.68, 38.32, 5.25, 3.08, 33.36, 0.17, -0.93, 0.04, 0.40, -0.94, 0.02, 
40598, 5.36, 0.79, 33.49, 4.98, 3.23, 29.17, 0.17, -0.92, 0.04, 0.41, -0.94, 0.02, 
40604, 5.48, 0.43, 28.60, 5.61, 2.34, 24.80, 0.17, -0.92, 0.03, 0.41, -0.94, 0.03, 
40612, 6.19, -0.60, 23.70, 5.01, 2.82, 20.72, 0.16, -0.92, 0.04, 0.42, -0.94, 0.02, 
40620, 5.97, -0.19, 18.98, 4.77, 1.94, 16.23, 0.16, -0.92, 0.04, 0.41, -0.94, 0.02, 
40626, 5.53, 0.25, 14.20, 4.57, 2.22, 11.56, 0.16, -0.91, 0.03, 0.41, -0.94, 0.02, 
40635, 6.51, 0.28, 9.70, 4.54, 2.40, 7.40, 0.16, -0.92, 0.04, 0.42, -0.93, 0.02, 
40641, 5.90, 0.41, 5.38, 4.24, 1.70, 3.68, 0.17, -0.91, 0.04, 0.42, -0.94, 0.02, 
40649, 5.04, -0.68, 0.60, 3.85, 1.03, -0.53, 0.17, -0.91, 0.02, 0.42, -0.94, 0.03, 
40657, 5.78, -1.79, -3.97, 3.62, 0.61, -4.95, 0.17, -0.91, 0.02, 0.41, -0.95, -0.03, 
40663, 5.88, -5.75, -8.86, 3.39, 1.75, -9.30, 0.17, -0.91, 0.06, 0.42, -0.94, 0.02, 
40672, 5.16, -2.77, -13.91, 2.85, 0.87, -13.76, 0.17, -0.92, 0.05, 0.41, -0.93, 0.03, 
40678, 4.21, -1.89, -18.54, 3.01, 1.44, -18.18, 0.17, -0.92, 0.02, 0.42, -0.94, 0.02, 
40687, 4.97, -4.07, -23.59, 2.70, 1.37, -22.20, 0.18, -0.92, 0.03, 0.41, -0.94, 0.02, 
40694, 4.80, -6.58, -28.43, 2.71, 1.29, -26.42, 0.17, -0.93, 0.04, 0.40, -0.94, 0.03, 
40701, 4.14, -4.35, -33.99, 2.35, 0.26, -30.77, 0.16, -0.93, 0.03, 0.40, -0.94, 0.02, 
40710, 3.46, 0.40, -38.85, 1.58, 0.27, -35.31, 0.17, -0.94, 0.03, 0.40, -0.94, 0.05, 
40717, 3.19, 1.15, -44.03, 2.67, 1.04, -39.31, 0.17, -0.94, 0.03, 0.39, -0.95, 0.01, 
40724, 3.36, 2.28, -49.04, 1.87, 0.67, -43.11, 0.18, -0.95, 0.03, 0.38, -0.95, 0.03, 
40732, 2.74, -0.18, -54.12, 2.72, 0.06, -46.81, 0.18, -0.96, 0.03, 0.38, -0.95, 0.03, 
40739, 2.16, 0.08, -59.03, 1.84, -0.06, -50.73, 0.18, -0.96, 0.03, 0.38, -0.95, 0.02, 
40748, 1.92, 0.83, -64.27, 1.68, 0.03, -54.42, 0.18, -0.97, 0.03, 0.36, -0.96, 0.02, 
40755, 1.73, 2.80, -69.45, 1.93, 0.28, -57.98, 0.19, -0.98, 0.03, 0.36, -0.96, 0.03, 
40762, 1.32, 1.93, -74.42, 1.62, 0.14, -61.20, 0.18, -0.99, 0.03, 0.34, -0.96, 0.02, 
40770, 0.94, 1.83, -79.70, 1.54, -0.31, -64.44, 0.19, -1.00, 0.02, 0.35, -0.96, 0.01, 
40778, 0.64, 1.11, -85.00, 2.10, -0.21, -67.72, 0.18, -1.01, 0.03, 0.33, -0.96, 0.03, 
40785, 0.37, 2.70, -90.63, 1.58, -0.38, -71.16, 0.18, -1.02, 0.03, 0.30, -0.97, 0.02, 
40793, -0.11, 2.58, -95.88, 1.58, -0.43, -73.94, 0.18, -1.03, 0.03, 0.31, -0.97, 0.03, 
40800, -0.16, 2.73, -100.98, 1.39, -0.32, -76.64, 0.18, -1.03, 0.03, 0.29, -0.98, 0.03, 
40809, -0.49, 2.07, -106.26, 1.40, -0.36, -79.54, 0.18, -1.04, 0.03, 0.29, -0.98, 0.02, 
40817, -0.80, 3.50, -111.14, 0.98, -0.37, -81.97, 0.17, -1.05, 0.03, 0.27, -0.98, 0.03, 
40823, -1.15, 4.40, -116.82, 0.94, -0.36, -84.72, 0.17, -1.07, 0.03, 0.26, -0.99, 0.01, 
40832, -1.22, 4.21, -121.84, 1.06, -0.52, -87.04, 0.17, -1.08, 0.02, 0.26, -0.98, 0.03, 
40840, -1.27, 3.88, -126.58, 1.52, -1.50, -89.04, 0.17, -1.08, 0.03, 0.25, -0.99, 0.04, 
40847, -1.60, 2.23, -131.95, 0.58, -1.10, -91.18, 0.17, -1.09, 0.03, 0.22, -0.99, 0.04, 
40856, -1.79, 0.94, -136.89, 1.49, -0.75, -93.17, 0.16, -1.10, 0.03, 0.21, -0.99, 0.00, 
40863, -1.33, 1.35, -141.34, 1.15, 0.54, -95.06, 0.15, -1.11, 0.02, 0.21, -0.99, 0.04, 
40870, -1.37, 2.21, -145.63, 0.99, 1.16, -96.43, 0.15, -1.12, 0.03, 0.20, -1.00, 0.02, 
40879, -1.77, 0.61, -150.46, 0.66, -0.93, -98.04, 0.15, -1.13, 0.03, 0.17, -1.00, 0.03, 
40887, -2.09, -4.26, -154.32, 0.70, -2.70, -99.30, 0.14, -1.14, 0.02, 0.15, -1.00, 0.03, 
40894, -1.68, -10.22, -158.35, 0.17, -4.28, -100.40, 0.13, -1.15, 0.03, 0.14, -1.00, 0.00, 
40903, -1.50, -14.32, -162.50, 0.50, -1.65, -101.46, 0.11, -1.16, 0.04, 0.12, -1.00, 0.06, 
40911, -1.37, -14.46, -167.90, 1.83, -0.98, -101.96, 0.09, -1.17, 0.03, 0.12, -1.02, 0.01, 
40918, -0.46, -7.49, -169.29, 1.02, -1.35, -103.32, 0.05, -1.17, 0.01, 0.09, -1.01, 0.02, 
40927, -0.43, 6.53, -174.26, 0.59, -1.41, -103.86, 0.08, -1.17, 0.02, 0.08, -1.01, 0.03, 
40934, -0.56, 1.65, -174.95, 0.60, -0.81, -104.83, 0.05, -1.18, -0.00, 0.07, -1.00, 0.04, 
40943, -0.32, -0.78, -177.14, 1.08, -1.72, -104.76, 0.04, -1.19, 0.03, 0.05, -1.01, 0.05, 
40951, 0.07, 0.51, -179.32, 1.33, -2.74, -104.77, 0.04, -1.19, 0.04, 0.03, -1.01, 0.03, 
40958, -0.70, -4.73, -180.81, 1.72, -2.13, -105.46, 0.01, -1.19, 0.02, 0.01, -1.01, 0.04, 
40967, 2.03, -1.22, -192.70, 1.30, -0.83, -108.30, 2.00, 0.31, 0.87, 0.45, -1.34, 0.30, 
40974, 30.47, 286.68, -250.61, 28.75, 119.85, -83.85, 2.00, 0.43, 2.00, -0.28, -0.94, 0.51, 
40982, -41.78, 69.89, -285.90, -1.22, 8.90, -20.87, 2.00, -1.75, -1.87, -0.20, -0.79, -0.30, 
40991, -17.76, -286.72, -286.72, -59.05, -93.81, 26.49, 1.45, -1.07, -1.44, -0.94, -0.30, 1.39, 
40999, 34.15, -200.32, -286.72, 4.05, 4.65, 31.79, -0.11, -1.33, 1.85, -0.57, -0.69, 0.38, 
41006, -5.45, -29.79, -286.72, -1.84, 21.23, 26.47, -0.17, -1.23, -0.00, -0.03, -0.94, 0.05, 
41016, -1.74, 42.32, -286.72, 14.12, -2.64, 25.39, -0.09, -1.13, -0.50, 0.03, -1.09, -0.15, 
41024, 32.61, 25.28, -286.72, 2.00, -1.99, 23.54, -0.43, -1.18, 0.36, -0.11, -1.16, -0.25, 
41031, 5.85, 2.06, -286.72, -15.31, 20.79, 22.36, -0.30, -1.03, 0.25, -0.02, -1.00, -0.01, 
41040, -0.32, -17.44, -286.72, 0.58, -8.25, 20.81, -0.69, -1.02, -0.27, -0.14, -0.98, 0.18, 
41048, 20.39, 27.71, -286.72, 4.98, 1.71, 17.26, -0.35, -1.08, 0.17, 0.10, -1.04, -0.05, 
41055, 12.28, 26.85, -286.72, -0.18, 3.25, 15.95, -0.43, -1.00, 0.27, 0.08, -1.09, -0.08, 
41064, 3.89, 0.90, -286.72, -0.40, -0.28, 15.24, -0.53, -0.87, -0.16, 0.01, -1.05, 0.01, 
41072, 6.06, -8.39, -285.48, 1.96, -8.15, 13.32, -0.59, -0.86, -0.23, 0.03, -1.09, -0.04, 
41079, 2.18, -11.60, -271.79, -1.62, 1.02, 10.14, -0.61, -0.81, -0.20, 0.12, -1.03, 0.03, 
41088, 4.05, -11.19, -255.54, 1.56, -0.68, 5.94, -0.64, -0.78, 0.02, 0.04, -1.00, 0.05, 
41096, -4.78, -1.15, -240.89, 2.98, -0.71, 3.13, -0.59, -0.74, -0.00, 0.03, -1.03, 0.04, 
41103, -6.24, -9.96, -226.27, 1.65, -0.53, 0.79, -0.65, -0.69, -0.09, 0.02, -0.99, 0.08, 
41111, -1.50, 1.22, -209.30, 2.71, 1.69, -3.25, -0.65, -0.65, 0.01, 0.04, -1.01, 0.04, 
41119, -3.32, -0.64, -193.82, 3.31, 0.57, -5.96, -0.61, -0.66, 0.02, 0.04, -1.00, 0.05, 
41126, -9.69, -15.00, -178.33, 3.61, 0.88, -8.34, -0.66, -0.66, -0.10, 0.03, -1.03, 0.06, 
41135, -9.28, -6.04, -160.65, 4.44, -0.03, -10.54, -0.64, -0.66, -0.10, 0.02, -1.03, 0.05, 
41143, -5.68, -5.42, -145.58, 4.68, 0.48, -12.03, -0.62, -0.67, -0.05, 0.03, -1.03, 0.05, 
41150, -9.83, -13.79, -127.95, 5.72, -4.16, -12.64, -0.62, -0.66, -0.05, 0.05, -1.04, 0.05, 
41159, -10.11, -24.59, -112.62, 8.54, -10.63, -12.58, -0.62, -0.70, 0.03, -0.03, -1.05, -0.05, 
41168, -8.24, -23.80, -95.52, 5.32, -0.80, -13.49, -0.66, -0.68, 0.07, -0.00, -1.05, -0.02, 
41175, -5.60, -3.69, -78.37, 2.76, 1.43, -14.17, -0.61, -0.67, 0.10, 0.01, -1.02, 0.05, 
41184, -1.57, -5.89, -63.72, 3.25, 1.55, -14.08, -0.62, -0.71, 0.12, -0.00, -1.03, 0.05, 
41191, -1.62, -0.15, -46.99, 3.92, 0.81, -13.84, -0.59, -0.71, 0.04, -0.00, -1.02, 0.04, 
41198, 0.90, 3.59, -33.22, 4.37, 1.50, -12.64, -0.56, -0.76, 0.03, -0.03, -1.03, 0.05, 
41207, 3.64, 2.24, -19.39, 3.80, 1.86, -10.60, -0.57, -0.78, 0.02, -0.03, -1.04, 0.05, 
41215, 1.76, -0.31, -5.83, 3.88, 1.99, -8.02, -0.56, -0.78, -0.05, -0.02, -1.04, 0.05, 
41222, 2.72, -1.11, 9.35, 3.43, 1.67, -5.08, -0.55, -0.78, 0.05, -0.02, -1.03, 0.06, 
41230, 5.31, -2.37, 22.79, 5.41, 0.86, -3.03, -0.58, -0.77, 0.15, -0.02, -1.04, 0.05, 
41237, 4.30, -0.64, 36.43, 5.89, 0.55, -1.29, -0.60, -0.73, 0.11, -0.02, -1.03, 0.05, 
41245, 8.51, 0.52, 50.39, 4.73, 0.79, -0.34, -0.61, -0.68, 0.06, -0.01, -1.04, 0.00, 
41253, 10.77, 2.05, 64.65, 2.29, 2.33, 0.04, -0.63, -0.62, 0.05, -0.00, -1.02, 0.02, 
41259, 11.30, -0.74, 79.29, -0.74, 3.01, -0.04, -0.66, -0.60, 0.01, 0.01, -1.00, 0.08, 
41268, 10.18, 1.72, 94.60, 1.77, 2.85, -1.22, -0.67, -0.54, 0.03, 0.01, -1.01, 0.09, 
41276, 10.88, 0.04, 110.23, 4.53, 1.73, -3.32, -0.73, -0.54, 0.04, 0.03, -1.01, 0.06, 
41282, 9.73, 4.03, 126.53, 5.71, -0.32, -5.96, -0.74, -0.54, 0.00, 0.02, -1.02, 0.04, 
41291, 8.70, 3.13, 145.55, 4.83, 0.91, -10.22, -0.74, -0.53, -0.02, 0.03, -1.04, 0.02, 
41298, 7.77, -0.39, 162.51, 2.79, 0.96, -13.66, -0.75, -0.56, -0.02, 0.02, -1.02, 0.09, 
41307, 3.62, -3.16, 179.23, 4.16, 1.54, -18.44, -0.77, -0.57, -0.07, 0.02, -1.03, 0.06, 
41314, 4.27, 4.87, 195.91, 5.91, 1.67, -22.98, -0.75, -0.60, -0.05, 0.01, -1.03, 0.05, 
41321, 6.17, 5.40, 215.01, 7.73, 0.63, -28.02, -0.74, -0.65, 0.03, 0.01, -1.03, 0.03, 
